date,time,meal_type,food_description,calories,protein,carbs,fat,macro_estimated,corrected,comments
2026-02-17,08:30:00,cena,"dos panes de masa madre con champiñones, 200g de pollo, cebolla y poco queso",730,62,70,23,1,0,
2026-02-17,09:32:00,desayuno,"medio plátano, licuado con una taza de fresas, proteína en polvo, cucharada de yogurt griego, wheatgrass, cucharadita de chía. 2 huevos estrellados con pan de masa madre",590,44,53,23,1,0,
2026-02-17,13:30:00,comida,"taza de espinacas con cucharadita de aceite de oliva, una taza de carne de res y tomate, 2 tortillas, una cucharada de frijoles, media taza de manzana y media taza de yogurt griego sin azúcar",620,50,42,28,1,0,
2026-02-18,08:43:00,pre-entreno,medio plátano y 5 almendras,88,2,15,3,1,0,
2026-02-18,09:52:00,desayuno,"licuado de proteína, wheatgrass, 40g de avena, 200g de fresa, dos cucharadas de yogurt griego sin azúcar",368,36,47,6,1,0,
2026-02-18,12:44:00,snack,half an apple,47,0,12,0,1,0,
2026-02-18,12:58:00,snack,taza de té verde,2,0,0,0,1,0,
2026-02-18,14:26:00,comida,"75 g de nopales, 200 g de atún sellado marinado en aceite de ajonjolí y soya con costra ligera de everything bagel, espinaca y alfalfa, 1 taza de arroz blanco",570,63,53,11,1,0,3 nopales pequeños y un medallón de atún. Muy rico
2026-02-18,14:47:00,comida,"2 cucharadas de yogurt griego, media manzana, 1 café, 1 cucharadita de aceite de oliva",109,3,13,6,1,0,
2026-02-18,21:22:00,cena,"dos huevos enteros con jocoque y zathaar, un pan de masa madre",320,20,27,15,1,0,
2026-02-23,13:47:00,comida,"arroz, carne con jitomate, un pan de masa madre con jocoque, y una taza de espinaca",640,43,80,15,1,0,
2026-02-23,19:49:00,cena,2 huevos en un pan de masa madre con jocoque y media taza de alfalfa,380,25,34,17,1,0,
2026-02-23,20:01:00,cena,"media taza de fresas, cucharadita de chia, media taza de leche entera, cucharada de avena",200,8,26,10,1,1,
2026-02-23,20:03:00,cena,medio scoop de proteína,60,15,2,1,1,0,
2026-02-24,09:06:00,pre-entreno,"1/4 de licuado de fresas, proteína, chía, crema de cacahuate, wheatgrass, agua",190,21,16,11,1,0,
2026-02-24,09:31:00,desayuno,"3/4 del licuado, 2 huevos revueltos con nopales, café",317,29,19,18,1,1,
2026-02-24,09:33:00,desayuno,"3/4 del licuado, 2 huevos revueltos con nopales, café, medio pan de masa madre",437,33,32,24,1,0,
2026-02-24,14:30:00,comida,"medallón de atún sellado con soya y fishsauce, taza y media de arroz basmati, media taza de edamames",645,65,79,10,1,0,
2026-02-24,16:00:00,snack,"15 almendras, 1 café",160,5,6,14,1,0,
2026-02-24,20:30:00,cena,"taza de espinacas, 8 aceitunas, cucharadita de aceite de oliva",90,2,3,8,1,0,
2026-02-25,08:30:00,desayuno,"licuado de una taza de fresas, proteína, agua, wheatgrass, medio plátano, 50g de avena. Un huevo estrellado con cúrcuma. Media taza de espinaca fresca",380,28,52,8,1,0,
2026-02-25,14:00:00,comida,"3/4 de taza de cerdo, 1 taza de arroz, 1 taza de ensalada de garbanzos, pepinos, jitomate y alcachofas en escabeche, un dátil",720,45,95,18,1,0,
2026-02-25,20:00:00,cena,"pan de masa madre con jocoque, omelet de dos huevos con zathaar",420,21,37,22,1,0,
2026-02-25,21:41:00,cena,media taza de yogurt griego con quinoa inflada y amaranto,290,20,46,4,1,0,
2026-02-26,08:22:00,desayuno,"licuado de una taza de moras, proteína, cucharada de crema de cacahuate, medio plátano",353,29,41,10,1,0,
2026-02-26,14:19:00,comida,"una taza de calabazas, 3 tostadas de maíz horneadas con frijoles, chilorio de pavo, espinacas, cebolla, yogurt griego",650,42,70,22,1,0,
2026-02-26,20:00:00,cena,4 pizzas y pastel,1600,45,180,70,1,0,
2026-02-27,08:55:00,desayuno,"licuado de proteína, una taza de moras, media de espinacas, media de yogurt griego, canela, agua",295,28,34,4,1,0,
2026-02-27,14:00:00,comida,vaso de clamato,120,1,28,0,1,0,
2026-02-27,19:27:00,cena,"plato de ceviche de atún y aguacate, un sope pequeño de pulpo, y un cupcake",520,42,35,28,1,1,
2026-02-27,19:30:00,cena,"plato de ceviche de atún y aguacate, un sope pequeño de pulpo, un cupcake, tres tortillas de maíz horneadas",700,50,60,34,1,0,
2026-02-27,21:18:00,cena,"pita con 150g de pollo con garam masala, espinaca, pepino, jitomatitos cherry, poca cebolla y cucharadita de aceite",410,39,38,9,1,1,
2026-02-27,21:18:00,cena,"pita con 150g de pollo con garam masala, espinaca, pepino, jitomatitos cherry, poca cebolla, cucharadita de aceite y cucharada de jocoque",460,42,39,14,1,0,
2026-02-28,09:38:00,pre-entreno,"media taza de yogurt, moras, 50g de avena",275,14,48,3,1,0,
2026-02-28,12:17:00,desayuno,"un scoop de proteína con chía, una manzana chica, dos huevos revueltos y un pan de masa madre",530,42,50,18,1,0,
2026-02-28,16:43:00,comida,"hamburguesa y media, dos copas de vino",750,25,50,15,1,0,
2026-03-01,10:49:00,desayuno,"omelette de dos huevos y una clara con champiñones y cebolla, pan de masa madre con un cuarto de aguacate, y espinaca",420,32,28,22,1,1,
2026-03-01,10:49:00,desayuno,"omelette de dos huevos y una clara con champiñones y cebolla, pan de masa madre con un cuarto de aguacate, espinaca, un hotcake pequeño y un puño de moras",540,35,45,25,1,0,
2026-03-01,20:00:00,cena,"quesadilla de dos tortillas de maíz con frijoles, y 120gr de atún en agua",420,32,55,10,1,0,
2026-03-02,07:58:00,pre-entreno,"media taza de yogurt, 50g de avena, 50g de moras",285,14,48,5,1,0,
2026-03-02,09:04:00,desayuno,"un scoop de proteína, wheatgrass, cuchara de crema de cacahuate, media manzana, medio plátano",370,28,42,10,1,0,
2026-03-02,14:36:00,comida,"250gr de atún, ensalada de taza y media de espinaca fresca, 4 champiñones, 10 tomates cherry, aceite de oliva y vinagre",420,65,10,16,1,1,
2026-03-02,14:36:00,comida,"250gr de atún, ensalada de taza y media de espinaca fresca, 4 champiñones, 10 tomates cherry, aceite de oliva y vinagre, un pan de masa madre (60g), una taza de yogurt griego con moras",750,115,130,40,1,0,
2026-03-03,09:08:00,desayuno,"un pan de masa madre 50g, dos huevos, un licuado de proteína y moras y 60gr de avena",620,45,72,16,1,0,
2026-03-03,10:00:00,pre-entreno,media taza de yogurt y un plátano,165,6,30,2,1,0,
2026-03-03,14:26:00,comida,"taza y media de arroz, 100 gr de nopales, una taza de espinacas, una lata de atún de 150gr en agua, medio aguacate",550,60,65,18,1,0,
2026-03-03,20:00:00,cena,"tostada de maíz horneada con pepino, garbanzo, cebolla, alcachofa, mango, palmito y aguacate (partes iguales), 200gr de yogurt griego",520,30,65,18,1,0,
2026-03-04,08:11:00,pre-entreno,"un plátano, licuado de proteína, yogurt griego y un nopal",285,26,40,3,1,0,
2026-03-04,20:00:00,cena,"licuado de proteína con leche, moras, banana, 50gr de avena",410,28,62,8,1,0,
2026-03-05,09:30:00,desayuno,"licuado con moras, proteína, wheatgrass, dos huevos estrellados con pan de masa madre de nuez",530,38,45,22,1,0,
2026-03-05,14:00:00,comida,dos pepinos pequeños y una quesadilla con frijoles,280,12,45,8,1,0,
